id,yield_class,age,average_height,dbh,taper,trees_per_ha,volume_per_ha
1,15.0,20,5.3,11.5,0.396,2585.0,54.0
1,15.0,30,10.6,16.7,0.458,1708.0,180.0
1,15.0,40,15.7,21.6,0.46,1266.0,334.0
1,15.0,50,20.5,26.1,0.456,1003.0,499.0
1,15.0,60,24.6,30.2,0.451,830.0,659.0
1,15.0,70,28.1,33.9,0.448,710.0,806.0
1,15.0,80,31.0,37.3,0.445,622.0,936.0
1,15.0,90,33.4,40.3,0.442,557.0,1048.0
1,15.0,100,35.3,42.9,0.44,508.0,1143.0
1,15.0,110,36.9,45.2,0.438,471.0,1222.0
1,15.0,120,38.1,47.1,0.437,443.0,1287.0
1,15.0,130,39.2,48.6,0.436,423.0,1341.0
1,15.0,140,40.0,49.8,0.436,409.0,1385.0
1,15.0,150,40.7,50.5,0.435,400.0,1421.0
1,14.0,20,5.2,10.5,0.389,2978.0,51.0
1,14.0,30,10.3,15.6,0.462,1914.0,173.0
1,14.0,40,15.3,20.3,0.464,1388.0,320.0
1,14.0,50,19.9,24.7,0.459,1082.0,474.0
1,14.0,60,23.9,28.8,0.454,885.0,623.0
1,14.0,70,27.3,32.4,0.45,749.0,760.0
1,14.0,80,30.1,35.8,0.446,652.0,881.0
1,14.0,90,32.5,38.7,0.444,581.0,987.0
1,14.0,100,34.5,41.3,0.442,527.0,1077.0
1,14.0,110,36.1,43.6,0.44,487.0,1153.0
1,14.0,120,37.4,45.5,0.439,457.0,1216.0
1,14.0,130,38.5,47.0,0.438,434.0,1269.0
1,14.0,140,39.3,48.2,0.437,419.0,1312.0
1,14.0,150,40.0,49.0,0.436,409.0,1349.0
1,13.0,20,5.1,9.5,0.371,3438.0,46.0
1,13.0,30,10.0,14.5,0.466,2143.0,163.0
1,13.0,40,14.7,19.1,0.467,1522.0,301.0
1,13.0,50,19.1,23.4,0.462,1168.0,443.0
1,13.0,60,22.9,27.4,0.456,944.0,581.0
1,13.0,70,26.2,31.0,0.452,792.0,707.0
1,13.0,80,29.0,34.2,0.448,685.0,821.0
1,13.0,90,31.4,37.1,0.445,607.0,919.0
1,13.0,100,33.4,39.7,0.443,548.0,1004.0
1,13.0,110,35.0,42.0,0.441,504.0,1077.0
1,13.0,120,36.4,43.8,0.44,471.0,1138.0
1,13.0,130,37.5,45.4,0.439,447.0,1189.0
1,13.0,140,38.4,46.6,0.438,430.0,1232.0
1,13.0,150,39.1,47.4,0.138,419.0,1268.0
1,12.0,20,4.9,8.5,0.335,3971.0,37.0
1,12.0,30,9.5,13.4,0.467,2398.0,150.0
1,12.0,40,14.0,17.9,0.47,1669.0,277.0
1,12.0,50,18.2,22.1,0.464,1262.0,408.0
1,12.0,60,21.8,25.9,0.459,1009.0,534.0
1,12.0,70,25.0,29.5,0.454,840.0,651.0
1,12.0,80,27.8,32.7,0.45,721.0,756.0
1,12.0,90,30.1,35.5,0.447,635.0,847.0
1,12.0,100,32.1,38.1,0.444,572.0,927.0
1,12.0,110,33.7,40.3,0.442,524.0,996.0
1,12.0,120,35.1,42.1,0.441,488.0,1054.0
1,12.0,130,36.3,43.7,0.44,462.0,1103.0
1,12.0,140,37.2,44.9,0.439,443.0,1145.0
1,12.0,150,38.0,45.8,0.439,430.0,1181.0
1,11.0,20,4.6,7.6,0.269,4585.0,26.0
1,11.0,30,9.0,12.3,0.465,2681.0,133.0
1,11.0,40,13.2,16.7,0.473,1831.0,250.0
1,11.0,50,17.1,20.8,0.467,1367.0,370.0
1,11.0,60,20.6,24.5,0.461,1082.0,485.0
1,11.0,70,23.7,28.0,0.456,893.0,592.0
1,11.0,80,26.3,31.1,0.452,762.0,688.0
1,11.0,90,28.6,33.9,0.448,668.0,773.0
1,11.0,100,30.6,36.4,0.446,598.0,847.0
1,11.0,110,32.2,38.5,0.444,546.0,912.0
1,11.0,120,33.6,40.4,0.442,507.0,967.0
1,11.0,130,34.8,41.9,0.441,478.0,1014.0
1,11.0,140,35.8,43.2,0.44,457.0,1055.0
1,11.0,150,36.7,44.1,0.44,443.0,1090.0
1,10.0,20,4.3,6.7,0.153,5288.0,12.0
1,10.0,30,8.3,11.3,0.459,2992.0,114.0
1,10.0,40,12.3,15.5,0.475,2009.0,221.0
1,10.0,50,15.9,19.4,0.47,1482.0,329.0
1,10.0,60,19.2,23.1,0.463,1163.0,434.0
1,10.0,70,22.2,26.4,0.458,954.0,531.0
1,10.0,80,24.7,29.5,0.453,809.0,619.0
1,10.0,90,27.0,32.2,0.45,705.0,697.0
1,10.0,100,28.9,34.6,0.447,629.0,766.0
1,10.0,110,30.5,36.8,0.445,572.0,826.0
1,10.0,120,31.9,38.6,0.443,530.0,878.0
1,10.0,130,33.1,40.2,0.442,498.0,923.0
1,10.0,140,34.2,41.4,0.441,475.0,963.0
1,10.0,150,35.0,42.3,0.441,459.0,996.0
1,9.0,30,7.6,10.2,0.446,3329.0,93.0
1,9.0,40,11.3,14.3,0.475,2203.0,190.0
1,9.0,50,14.7,18.1,0.472,1610.0,287.0
1,9.0,60,17.8,21.6,0.465,1253.0,381.0
1,9.0,70,20.5,24.9,0.46,1022.0,469.0
1,9.0,80,23.0,27.8,0.455,863.0,549.0
1,9.0,90,25.1,30.5,0.451,749.0,620.0
1,9.0,100,27.0,32.9,0.448,665.0,684.0
1,9.0,110,28.6,35.0,0.446,603.0,740.0
1,9.0,120,30.0,36.8,0.444,556.0,789.0
1,9.0,130,31.3,38.3,0.443,521.0,832.0
1,9.0,140,32.3,39.5,0.442,495.0,869.0
1,9.0,150,33.2,40.5,0.442,478.0,902.0
1,8.0,30,6.9,9.2,0.42,3687.0,71.0
1,8.0,40,10.2,13.2,0.473,2411.0,158.0
1,8.0,50,13.3,16.8,0.473,1749.0,245.0
1,8.0,60,16.2,20.2,0.467,1355.0,329.0
1,8.0,70,18.8,23.3,0.461,1099.0,407.0
1,8.0,80,21.1,26.2,0.456,924.0,479.0
1,8.0,90,23.2,28.8,0.453,799.0,545.0
1,8.0,100,25.0,31.1,0.45,707.0,603.0
1,8.0,110,26.6,33.1,0.447,639.0,655.0
1,8.0,120,28.0,34.9,0.446,588.0,700.0
1,8.0,130,29.2,36.4,0.444,549.0,741.0
1,8.0,140,30.2,37.6,0.443,520.0,776.0
1,8.0,150,31.1,38.6,0.443,500.0,808.0
1,7.0,30,6.1,8.3,0.373,4052.0,49.0
1,7.0,40,9.1,12.0,0.467,2629.0,126.0
1,7.0,50,11.9,15.5,0.473,1899.0,203.0
1,7.0,60,14.6,18.8,0.468,1466.0,277.0
1,7.0,70,17.0,21.8,0.463,1186.0,347.0
1,7.0,80,19.2,24.5,0.458,994.0,411.0
1,7.0,90,21.1,27.0,0.454,857.0,470.0
1,7.0,100,22.8,29.2,0.451,757.0,523.0
1,7.0,110,24.4,31.2,0.448,682.0,571.0
1,7.0,120,25.7,33.0,0.447,625.0,613.0
1,7.0,130,26.9,34.5,0.445,582.0,651.0
1,7.0,140,28.0,35.7,0.444,550.0,684.0
1,7.0,150,28.9,36.7,0.443,527.0,714.0
1,6.0,30,5.3,7.3,0.285,4403.0,28.0
1,6.0,40,8.0,10.9,0.454,2845.0,95.0
1,6.0,50,10.5,14.2,0.471,2054.0,161.0
1,6.0,60,12.9,17.3,0.469,1585.0,226.0
1,6.0,70,15.1,20.2,0.464,1281.0,287.0
1,6.0,80,17.1,22.8,0.459,1072.0,345.0
1,6.0,90,19.0,25.2,0.455,923.0,397.0
1,6.0,100,20.6,27.4,0.452,813.0,445.0
1,6.0,110,22.1,29.3,0.449,731.0,489.0
1,6.0,120,23.4,31.0,0.447,669.0,528.0
1,6.0,130,24.5,32.5,0.446,622.0,563.0
1,6.0,140,25.5,33.7,0.445,586.0,594.0
1,6.0,150,26.5,34.7,0.444,560.0,622.0
1,5.0,30,4.5,6.4,0.119,4703.0,8.0
1,5.0,40,6.8,9.7,0.427,3042.0,66.0
1,5.0,50,9.1,12.9,0.465,2206.0,122.0
1,5.0,60,11.3,15.8,0.468,1707.0,177.0
1,5.0,70,13.3,18.6,0.464,1382.0,230.0
1,5.0,80,15.1,21.1,0.46,1158.0,280.0
1,5.0,90,16.8,23.4,0.456,997.0,326.0
1,5.0,100,18.3,25.5,0.453,878.0,369.0
1,5.0,110,19.7,27.3,0.45,788.0,407.0
1,5.0,120,20.9,29.0,0.448,720.0,444.0
1,5.0,130,22.0,30.4,0.446,668.0,476.0
1,5.0,140,23.0,31.6,0.445,628.0,505.0
1,5.0,150,23.9,32.7,0.444,598.0,532.0
1,4.0,40,5.8,8.6,0.374,3190.0,40.0
1,4.0,50,7.7,11.6,0.452,2336.0,86.0
1,4.0,60,9.6,14.4,0.463,1822.0,132.0
1,4.0,70,11.4,17.0,0.463,1483.0,176.0
1,4.0,80,13.0,19.3,0.459,1247.0,219.0
1,4.0,90,14.5,21.5,0.456,1075.0,259.0
1,4.0,100,15.9,23.5,0.453,948.0,296.0
1,4.0,110,17.2,25.3,0.45,851.0,331.0
1,4.0,120,18.3,26.9,0.448,777.0,363.0
1,4.0,130,19.4,28.3,0.446,720.0,392.0
1,4.0,140,20.3,29.5,0.445,676.0,419.0
1,4.0,150,21.2,30.6,0.444,642.0,443.0
1,3.0,40,4.7,7.5,0.268,3247.0,18.0
1,3.0,50,6.4,10.3,0.423,2418.0,55.0
1,3.0,60,8.0,12.9,0.453,1911.0,91.0
1,3.0,70,9.6,15.3,0.458,1570.0,127.0
1,3.0,80,11.0,17.6,0.457,1329.0,162.0
1,3.0,90,12.3,19.6,0.454,1152.0,196.0
1,3.0,100,13.6,21.5,0.452,1019.0,228.0
1,3.0,110,14.7,23.3,0.449,917.0,258.0
1,3.0,120,15.8,24.8,0.447,837.0,285.0
1,3.0,130,16.7,26.2,0.446,776.0,311.0
1,3.0,140,17.6,27.4,0.445,727.0,335.0
1,3.0,150,18.4,28.4,0.444,690.0,357.0
1,2.0,40,3.8,6.4,0.4,3156.0,2.0
1,2.0,50,5.2,9.0,0.363,2410.0,29.0
1,2.0,60,6.5,11.4,0.431,1943.0,56.0
1,2.0,80,9.0,15.8,0.451,1389.0,111.0
1,2.0,90,10.2,17.7,0.451,1214.0,138.0
1,2.0,100,11.3,19.5,0.449,1081.0,164.0
1,2.0,110,12.3,21.2,0.447,976.0,188.0
1,2.0,120,13.2,22.6,0.445,894.0,212.0
1,2.0,130,14.1,24.0,0.444,830.0,234.0
1,2.0,140,14.8,25.2,0.443,778.0,254.0
1,2.0,150,15.6,26.2,0.442,738.0,273.0
2,17.0,20,7.4,8.5,0.439,4133.0,75.0
2,17.0,30,13.2,13.1,0.494,2359.0,209.0
2,17.0,40,18.5,17.7,0.486,1596.0,353.0
2,17.0,50,23.1,22.1,0.473,1194.0,501.0
2,17.0,60,27.0,26.3,0.464,944.0,644.0
2,17.0,70,30.1,30.4,0.458,772.0,774.0
2,17.0,80,32.8,34.4,0.451,645.0,886.0
2,17.0,90,35.1,38.2,0.445,546.0,980.0
2,17.0,100,36.8,42.1,0.441,466.0,1056.0
2,17.0,110,38.2,45.9,0.437,401.0,1113.0
2,17.0,120,39.4,49.7,0.434,348.0,1156.0
2,16.0,20,7.0,8.2,0.421,4212.0,65.0
2,16.0,30,12.7,12.7,0.491,2442.0,194.0
2,16.0,40,17.8,17.2,0.488,1662.0,335.0
2,16.0,50,22.4,21.4,0.476,1243.0,477.0
2,16.0,60,26.1,25.5,0.466,980.0,613.0
2,16.0,70,29.2,29.5,0.458,799.0,735.0
