id,yield_class,age,average_height,dbh,taper,trees_per_ha
5,11.0,120,30.5,42.9,0.487,340.0
92,3.0,70,9.6,15.2,0.472,1416.0
89,4.0,130,20.11359403894335,31.381239735075702,0.4308970438862074,611.0
20,8.0,190,26.5,67.8,0.4827123838712767,164.0
13,9.0,50,21.9,30.2,0.465,437.0
19,9.0,30,21.1,22.2,0.45,714.0
76,7.0,80,20.1,21.2,0.5052,1234.0
6,8.0,120,25.1,31.9,0.524,543.0
18,6.0,40,13.2,13.7,0.433,1956.0
91,5.0,170,28.38308092737033,38.62122222694127,0.4364409264007257,499.0
5,9.0,30,8.0,8.8,0.452,4220.0
6,6.0,110,19.9,22.9,0.557,966.0
8,3.0,110,17.2,23.3,0.439,617.0
90,12.0,80,23.383275024670542,27.623643699579027,0.4540800999188256,916.0
76,5.0,120,21.7,22.3,0.5049,1153.0
8,2.0,60,6.5,6.5,0.38,4471.0
88,11.0,50,15.767936179254011,19.430603397684813,0.4638029610894974,1441.0
13,10.0,30,20.6,26.4,0.473,464.0
12,4.0,50,15.8,18.7,0.452,661.0
89,4.0,90,14.37198845489363,24.066959156710656,0.4319150122068722,903.0
93,4.0,70,9.9,14.7,0.493,2580.0
1,11.0,70,23.7,28.0,0.456,893.0
21,2.0,100,14.8,21.5,0.441,621.0
90,5.0,190,31.163497505070566,40.439847704520325,0.4382729699660284,406.0
89,5.0,30,4.688033826390782,9.768534316137655,0.4969906958298626,2444.0
88,9.0,160,35.615744898235604,43.58565207415556,0.4394533590415331,377.0
16,10.0,80,22.8,34.0,0.481,293.0
10,4.0,120,22.0,28.4,0.492,523.0
87,7.0,160,27.1,36.6,0.473,405.0
10,5.0,80,20.1,20.9,0.483,935.0
93,6.0,60,13.7,16.8,0.464,1971.0
7,12.0,30,15.2,15.0,0.46,1834.0
87,7.0,140,25.5,33.9,0.478,478.0
75,14.0,110,38.4,51.2,0.4643,210.0
3,13.0,100,34.0,39.4,0.444,493.0
76,1.0,140,9.5,12.6,0.5228,2329.0
8,4.0,90,17.0,23.7,0.437,621.0
87,16.0,60,25.3,25.4,0.478,1029.0
10,6.0,110,26.5,31.7,0.492,447.0
75,8.0,150,30.4,43.7,0.4616,245.0
87,10.0,180,32.6,43.5,0.456,310.0
93,6.0,190,27.5,40.3,0.414,353.0
93,9.0,60,21.5,21.2,0.435,1365.0
75,7.0,70,23.2,34.1,0.4634,425.0
2,15.0,100,34.5,39.9,0.443,493.0
90,2.0,90,9.36962808231886,19.183168598377677,0.4252496735502507,1112.0
87,5.0,150,23.5,32.8,0.484,456.0
9,9.0,30,13.0,13.48,0.389,2084.0
89,7.0,80,17.084120218414093,25.48675427190937,0.4397601695001329,940.0
2,17.0,40,18.5,17.7,0.486,1596.0
5,17.0,140,37.7,60.0,0.478,213.0
7,17.0,65,36.3,44.1,0.4,290.0
90,11.0,150,39.251855319516736,47.89698649052011,0.4361747140424907,304.0
8,3.0,80,12.5,16.8,0.436,1051.0
6,18.0,30,10.9,12.0,0.44,3431.0
11,2.0,50,5.8,6.5,0.15,4057.0
76,7.0,120,27.0,25.9,0.5034,942.0
13,8.0,40,19.6,25.9,0.476,516.0
92,6.0,140,30.1,44.9,0.404,258.0
75,3.0,90,17.3,26.8,0.4632,576.0
87,2.0,200,28.9,46.9,0.467,97.0
87,8.0,180,29.6,40.1,0.465,346.0
91,16.0,120,38.72205758650416,46.84739402322765,0.437498292353242,402.0
92,4.0,80,14.2,20.7,0.455,932.0
17,2.0,130,11.7,17.0,0.533,840.0
5,7.0,60,17.2,18.6,0.521,1228.0
10,10.0,90,33.0,34.6,0.496,399.0
90,5.0,180,29.809373628846245,38.91832487461881,0.4389786325576977,438.0
8,4.0,120,21.2,29.9,0.434,427.0
