tree_type,age,average_height,dbh,trees_per_ha,basal_area
coniferous,20.0,5.3,11.5,2585.0,26.8
coniferous,30.0,10.6,16.7,1708.0,37.5
coniferous,40.0,15.7,21.6,1266.0,46.3
coniferous,50.0,20.5,26.1,1003.0,53.5
coniferous,60.0,24.6,30.2,830.0,59.4
coniferous,70.0,28.1,33.9,710.0,64.1
coniferous,80.0,31.0,37.3,622.0,68.0
coniferous,90.0,33.4,40.3,557.0,71.1
coniferous,100.0,35.3,42.9,508.0,73.6
coniferous,110.0,36.9,45.2,471.0,75.6
coniferous,120.0,38.1,47.1,443.0,77.2
coniferous,130.0,39.2,48.6,423.0,78.4
coniferous,140.0,40.0,49.8,409.0,79.4
coniferous,150.0,40.7,50.5,400.0,80.3
coniferous,20.0,5.2,10.5,2978.0,25.6
coniferous,30.0,10.3,15.6,1914.0,36.5
coniferous,40.0,15.3,20.3,1388.0,45.1
coniferous,50.0,19.9,24.7,1082.0,52.0
coniferous,60.0,23.9,28.8,885.0,57.5
coniferous,70.0,27.3,32.4,749.0,62.0
coniferous,80.0,30.1,35.8,652.0,65.6
coniferous,90.0,32.5,38.7,581.0,68.5
coniferous,100.0,34.5,41.3,527.0,70.8
coniferous,110.0,36.1,43.6,487.0,72.7
coniferous,120.0,37.4,45.5,457.0,74.2
coniferous,130.0,38.5,47.0,434.0,75.4
coniferous,140.0,39.3,48.2,419.0,76.4
coniferous,150.0,40.0,49.0,409.0,77.2
coniferous,30.0,10.0,14.5,2143.0,35.2
coniferous,40.0,14.7,19.1,1522.0,43.7
coniferous,50.0,19.1,23.4,1168.0,50.3
coniferous,60.0,22.9,27.4,944.0,55.5
coniferous,70.0,26.2,31.0,792.0,59.7
coniferous,80.0,29.0,34.2,685.0,63.0
coniferous,90.0,31.4,37.1,607.0,65.8
coniferous,100.0,33.4,39.7,548.0,67.9
coniferous,110.0,35.0,42.0,504.0,69.7
coniferous,120.0,36.4,43.8,471.0,71.1
coniferous,130.0,37.5,45.4,447.0,72.3
coniferous,140.0,38.4,46.6,430.0,73.2
coniferous,150.0,39.1,47.4,419.0,74.0
coniferous,20.0,4.9,8.5,3971.0,22.7
coniferous,30.0,9.5,13.4,2398.0,33.7
coniferous,40.0,14.0,17.9,1669.0,42.0
coniferous,50.0,18.2,22.1,1262.0,48.4
coniferous,60.0,21.8,25.9,1009.0,53.3
coniferous,70.0,25.0,29.5,840.0,57.3
coniferous,80.0,27.8,32.7,721.0,60.5
coniferous,90.0,30.1,35.5,635.0,63.0
coniferous,100.0,32.1,38.1,572.0,65.0
coniferous,110.0,33.7,40.3,524.0,66.7
coniferous,120.0,35.1,42.1,488.0,68.1
coniferous,130.0,36.3,43.7,462.0,69.2
coniferous,140.0,37.2,44.9,443.0,70.1
coniferous,150.0,38.0,45.8,430.0,70.8
coniferous,20.0,4.6,7.6,4585.0,20.9
coniferous,30.0,9.0,12.3,2681.0,31.9
coniferous,40.0,13.2,16.7,1831.0,40.1
coniferous,50.0,17.1,20.8,1367.0,46.3
coniferous,60.0,20.6,24.5,1082.0,51.1
coniferous,70.0,23.7,28.0,893.0,54.8
coniferous,80.0,26.3,31.1,762.0,57.8
coniferous,90.0,28.6,33.9,668.0,60.2
coniferous,100.0,30.6,36.4,598.0,62.2
coniferous,110.0,32.2,38.5,546.0,63.7
coniferous,120.0,33.6,40.4,507.0,65.0
coniferous,130.0,34.8,41.9,478.0,66.1
coniferous,140.0,35.8,43.2,457.0,66.9
coniferous,150.0,36.7,44.1,443.0,67.6
coniferous,30.0,8.3,11.3,2992.0,29.8
coniferous,40.0,12.3,15.5,2009.0,38.0
coniferous,50.0,15.9,19.4,1482.0,44.0
coniferous,60.0,19.2,23.1,1163.0,48.7
coniferous,70.0,22.2,26.4,954.0,52.3
coniferous,80.0,24.7,29.5,809.0,55.2
coniferous,90.0,27.0,32.2,705.0,57.4
coniferous,100.0,28.9,34.6,629.0,59.3
coniferous,110.0,30.5,36.8,572.0,60.8
coniferous,120.0,31.9,38.6,530.0,62.0
coniferous,130.0,33.1,40.2,498.0,63.0
coniferous,140.0,34.2,41.4,475.0,63.8
coniferous,150.0,35.0,42.3,459.0,64.5
coniferous,40.0,11.3,14.3,2203.0,35.5
coniferous,50.0,14.7,18.1,1610.0,41.6
coniferous,60.0,17.8,21.6,1253.0,46.2
coniferous,70.0,20.5,24.9,1022.0,49.7
coniferous,80.0,23.0,27.8,863.0,52.5
coniferous,90.0,25.1,30.5,749.0,54.7
coniferous,100.0,27.0,32.9,665.0,56.5
coniferous,110.0,28.6,35.0,603.0,57.9
coniferous,120.0,30.0,36.8,556.0,59.1
coniferous,130.0,31.3,38.3,521.0,60.0
coniferous,140.0,32.3,39.5,495.0,60.8
coniferous,150.0,33.2,40.5,478.0,61.5
coniferous,40.0,10.2,13.2,2411.0,32.8
coniferous,50.0,13.3,16.8,1749.0,38.9
coniferous,60.0,16.2,20.2,1355.0,43.4
coniferous,70.0,18.8,23.3,1099.0,47.0
coniferous,80.0,21.1,26.2,924.0,49.7
coniferous,90.0,23.2,28.8,799.0,51.9
coniferous,100.0,25.0,31.1,707.0,53.6
coniferous,110.0,26.6,33.1,639.0,55.0
coniferous,120.0,28.0,34.9,588.0,56.2
coniferous,130.0,29.2,36.4,549.0,57.1
coniferous,140.0,30.2,37.6,520.0,57.9
coniferous,150.0,31.1,38.6,500.0,58.6
coniferous,30.0,6.1,8.3,4052.0,21.8
coniferous,40.0,9.1,12.0,2629.0,29.8
coniferous,50.0,11.9,15.5,1899.0,35.9
coniferous,60.0,14.6,18.8,1466.0,40.5
coniferous,70.0,17.0,21.8,1186.0,44.1
coniferous,80.0,19.2,24.5,994.0,46.8
coniferous,90.0,21.1,27.0,857.0,49.0
coniferous,100.0,22.8,29.2,757.0,50.8
coniferous,110.0,24.4,31.2,682.0,52.2
coniferous,120.0,25.7,33.0,625.0,53.4
coniferous,130.0,26.9,34.5,582.0,54.3
coniferous,140.0,28.0,35.7,550.0,55.1
coniferous,150.0,28.9,36.7,527.0,55.7
coniferous,30.0,5.3,7.3,4403.0,18.5
coniferous,40.0,8.0,10.9,2845.0,26.4
coniferous,50.0,10.5,14.2,2054.0,32.5
coniferous,60.0,12.9,17.3,1585.0,37.3
coniferous,70.0,15.1,20.2,1281.0,40.9
coniferous,80.0,17.1,22.8,1072.0,43.8
