country,temperature_min,temperature_max,temperature_mean,temperature_median,precip_mm_mean,precip_mm_median,number_of_days_with_precip_mm_gt_0,rain_days,heavy_rain_days,sun_days,partly_cloudy_days,number_of_datapoints
Afghanistan,-3.3,36.3,21.88,25.6,0.03768316831683169,0.0,56,40,0,409,25,505
Albania,6.2,39.2,23.077029702970297,23.2,0.12483168316831683,0.0,146,43,5,279,162,505
Algeria,9.3,38.2,23.538095238095238,24.3,0.0333531746031746,0.0,74,20,1,231,240,504
Andorra,-8.0,28.9,12.517029702970298,12.1,0.124,0.0,201,155,2,250,38,505
Angola,19.3,32.2,26.233663366336632,26.3,0.02992079207920792,0.0,92,29,0,79,304,505
Antigua and Barbuda,21.0,31.4,26.821556886227544,27.0,0.10614770459081836,0.02,348,120,9,4,254,501
Argentina,0.3,27.3,13.65009940357853,13.3,0.0797614314115308,0.0,72,35,3,173,90,503
Armenia,-2.8,39.3,20.955841584158417,23.3,0.04556435643564357,0.0,126,64,8,232,187,505
Australia,-3.7,28.2,12.036633663366336,12.1,0.09944554455445544,0.0,74,37,0,21,102,505
Austria,-3.8,35.5,15.991666666666667,16.2,0.08103174603174602,0.0,113,82,2,197,198,504
Azerbaijan,-0.9,37.2,21.258333333333336,23.0,0.02236111111111111,0.0,64,24,2,260,177,504
Bahamas,13.2,32.0,25.480561122244488,26.3,0.07200400801603206,0.0,71,50,16,5,346,499
Bahrain,15.1,45.3,32.16930693069307,35.0,0.00037623762376237625,0.0,5,4,0,465,29,505
Bangladesh,23.2,42.2,31.41332007952286,31.4,0.3524055666003976,0.0,211,184,10,179,66,503
Barbados,22.1,33.0,27.381274900398406,27.3,0.1410159362549801,0.025,377,120,7,2,286,502
Belarus,-8.8,32.4,13.483960396039603,15.2,0.0956039603960396,0.0,192,61,6,145,225,505
Belgium,-1.0,32.2,14.309403437815975,15.0,0.08253791708796764,0.0,364,162,7,246,347,989
Belize,16.1,32.0,22.92754491017964,22.9,0.14790419161676646,0.0,218,71,7,2,59,501
Benin,24.0,34.4,28.74543650793651,29.1,0.1207936507936508,0.01,301,125,19,17,341,504
Bhutan,-0.1,23.8,13.765674603174602,14.0,0.35849206349206353,0.26,421,378,0,80,3,504
Bolivia,-0.9,32.9,17.058741258741257,16.6,0.09194805194805195,0.0,278,229,1,213,129,1001
Bosnia and Herzegovina,-4.8,37.2,16.626732673267327,17.0,0.16463366336633664,0.0,187,62,11,191,211,505
Botswana,6.4,38.4,23.84138613861386,24.0,0.03411881188118812,0.0,53,29,0,351,92,505
Brazil,17.9,33.3,24.580838323353294,23.2,0.17043912175648704,0.0,160,124,2,81,87,501
Brunei Darussalam,24.0,34.3,29.097619047619048,29.2,0.5243650793650793,0.2,360,188,40,1,310,504
Bulgaria,-5.6,40.9,19.25781683626272,20.2,0.11273820536540241,0.0,242,126,12,565,275,1081
Burkina Faso,21.1,41.5,29.524603174603175,29.2,0.07021825396825397,0.0,60,59,16,278,105,504
Burundi,17.5,33.3,26.54693069306931,27.1,0.1967326732673267,0.06,318,196,0,111,197,505
Cambodia,24.7,39.1,31.33154761904762,31.2,0.1586309523809524,0.0,217,87,18,14,388,504
Cameroon,17.3,33.3,25.399801192842943,25.2,0.2723459244532803,0.0,240,161,19,200,104,503
Canada,-21.8,29.2,8.098605577689243,11.1,0.17179282868525894,0.0,49,35,2,24,227,502
Cape Verde,19.1,31.3,24.832673267326733,25.1,0.013683168316831683,0.0,87,22,2,116,342,505
Central African Republic,21.1,37.9,29.451984126984126,29.4,0.13563492063492064,0.0,121,103,16,162,215,504
Chad,22.0,45.0,31.365544554455447,31.1,0.05861386138613862,0.0,51,45,14,310,112,505
Chile,-1.7,22.8,9.70378486055777,9.2,0.07121513944223108,0.0,46,18,0,117,64,502
China,-6.0,38.3,20.35952380952381,23.3,0.07408730158730159,0.0,71,57,3,177,41,504
Comoros,22.1,30.3,26.23956262425447,26.0,0.2688667992047714,0.05,408,404,1,86,6,503
Congo,20.1,37.5,27.474801587301585,27.3,0.1407142857142857,0.0,120,61,14,84,281,504
Costa Rica,10.9,27.0,19.63627254509018,20.3,0.11871743486973949,0.0,176,47,0,31,201,499
Croatia,-2.0,38.8,17.80675944333996,18.2,0.11429423459244534,0.0,104,67,9,258,109,503
Cuba,9.3,31.0,23.508383233532935,24.1,0.03724550898203593,0.0,37,16,2,31,270,501
Cyprus,7.1,41.1,27.30238095238095,29.0,0.025535714285714283,0.0,60,12,2,204,285,504
Czech Republic,-6.9,32.4,14.116135458167332,14.9,0.08270916334661355,0.0,138,49,3,204,171,502
Democratic Republic of Congo,20.1,37.8,27.39541832669323,27.2,0.13780876494023905,0.0,119,63,12,84,279,502
Denmark,-5.0,27.2,13.328968253968254,14.25,0.09702380952380953,0.0,181,71,1,143,194,504
Djibouti,25.1,47.1,33.06958250497018,33.1,0.02671968190854871,0.0,63,51,0,312,91,503
Dominica,20.2,35.3,26.926892430278883,26.8,0.13047808764940239,0.04,433,337,1,5,128,502
Dominican Republic,18.3,32.0,24.371457085828343,24.2,0.1615369261477046,0.0,85,43,7,12,400,501
Ecuador,6.7,18.9,10.3542,10.1,0.0455,0.0,152,116,0,97,98,500
Egypt,13.0,42.4,28.069047619047616,28.35,0.0005357142857142857,0.0,3,1,0,318,157,504
El Salvador,16.7,30.0,23.566533066132266,24.1,0.2818436873747495,0.0,181,94,22,10,139,499
Equatorial Guinea,23.1,33.4,27.554257425742573,27.3,0.4124752475247525,0.09,428,255,32,22,221,505
Eritrea,14.2,28.0,21.94990099009901,22.4,0.13958415841584157,0.0,203,196,1,289,12,505
Estonia,-6.9,32.3,12.21765873015873,13.3,0.10517857142857143,0.0,207,82,1,125,184,504
Ethiopia,13.2,29.4,20.472564612326046,20.3,0.3142147117296223,0.02,266,109,4,112,253,503
Fiji Islands,17.3,28.2,24.034455445544555,24.2,0.3068316831683168,0.06,395,100,3,0,380,505
Finland,-9.9,29.1,12.083762376237624,13.3,0.08889108910891089,0.0,175,91,5,139,198,505
France,-0.8,36.8,15.413492063492063,16.0,0.1071031746031746,0.0,144,83,13,186,115,504
Gabon,22.9,31.3,27.275992063492065,27.3,0.19912698412698412,0.01,323,100,7,15,365,504
Gambia,19.1,36.4,26.045526838966204,25.4,0.17326043737574554,0.0,124,41,5,239,211,503
Georgia,-1.7,37.4,20.26779324055666,21.3,0.049045725646123264,0.0,131,46,4,274,128,503
Germany,-3.0,33.3,15.092079207920792,16.0,0.07360396039603961,0.0,135,69,9,203,146,505
Ghana,23.0,33.2,27.773663366336635,28.2,0.08526732673267327,0.0,226,73,5,48,229,505
Greece,6.3,39.3,24.847904191616767,26.1,0.02616766467065868,0.0,60,16,0,248,231,501
Grenada,23.1,32.0,27.3750499001996,27.2,0.1668063872255489,0.02,356,154,16,7,262,501
Guatemala,11.5,25.0,17.4501002004008,17.3,0.09571142284569138,0.0,146,39,1,2,266,499
Guinea,23.1,33.0,26.520238095238096,26.2,0.5164484126984127,0.01,261,137,25,46,221,504
Guinea-Bissau,19.2,38.0,26.52019801980198,26.0,0.3730891089108911,0.0,183,98,11,210,181,505
Guyana,20.1,31.4,24.828685258964143,24.3,0.48625498007968126,0.18,371,140,4,13,278,502
Haiti,14.8,32.3,22.10139720558882,20.8,0.026307385229540917,0.0,18,6,0,38,171,501
Honduras,11.7,27.0,19.320400000000003,20.0,0.07404000000000001,0.0,159,47,1,4,295,500
Hungary,-2.6,37.1,17.677406679764243,19.0,0.05371316306483301,0.0,84,58,7,263,135,509
Iceland,-5.7,17.2,6.865277777777778,7.4,0.18755952380952381,0.01,280,120,1,59,168,504
India,14.3,44.8,31.89085487077535,33.1,0.07695825049701789,0.0,92,71,41,60,29,503
Indonesia,18.0,34.4,27.768447082096934,28.3,0.4529673590504451,0.1,773,549,54,52,308,1011
Iran,-9.4,39.9,22.14097222222222,24.95,0.023601190476190477,0.0,109,53,2,622,247,1008
Iraq,9.2,49.1,32.82336633663366,36.3,0.0034455445544554456,0.0,17,2,0,364,91,505
Ireland,-2.8,23.2,12.42803180914513,13.2,0.12204771371769384,0.0,226,81,0,41,355,503
Israel,8.2,39.0,25.770039682539682,28.2,0.011805555555555555,0.0,46,23,1,336,130,504
Italy,6.3,37.7,21.922619047619047,22.1,0.06636904761904762,0.0,110,41,5,298,154,504
Jamaica,21.9,33.0,27.22794411177645,27.1,0.20820359281437126,0.0,27,27,14,36,310,501
Japan,3.1,37.1,21.417425742574256,22.4,0.16196039603960397,0.0,161,84,2,33,309,505
Jordan,4.0,41.1,24.611287128712874,26.2,0.007722772277227723,0.0,35,6,0,261,85,505
Kazakhstan,-23.8,35.0,12.344047619047618,16.3,0.07541666666666666,0.0,146,47,12,142,238,504
Kenya,15.1,28.4,22.396640316205534,22.55,0.1257509881422925,0.0,238,52,0,40,406,506
Kiribati,26.2,29.6,27.912127236580517,27.9,0.05339960238568588,0.0,235,228,0,0,142,503
Kuwait,11.7,49.2,34.565940594059406,38.3,0.0035445544554455447,0.0,15,11,0,388,39,505
Kyrghyzstan,-8.5,40.1,19.517460317460316,21.75,0.11682539682539683,0.0,203,169,3,242,46,504
