UMAP1,UMAP2
-3.0108707,-0.8253449
-2.2972224,-1.7166394
-3.8062248,-2.2490375
1.0877355,-0.95711577
-5.100987,-3.2622368
-8.074976,-4.6708546
1.7874632,-1.6448643
-1.9440087,-1.5366826
1.9127008,-1.5591471
-0.05647152,-1.2452484
-2.249241,-1.5246232
-5.9013386,-3.4674768
-6.2923403,-0.41587013
-6.6898003,-2.909066
-8.123939,-4.7092195
1.0754681,-0.58357465
1.1357816,-0.4444771
-4.0372267,-3.5200312
-8.502437,-4.306581
-9.381678,-5.3857045
0.6509752,-0.63419855
0.2979501,-1.0084819
-3.1797073,-0.90405005
-4.063473,-3.4979644
-9.571387,-5.076372
-2.9073336,-1.7161791
-6.207896,-1.6153411
-8.976313,-5.5493093
-8.110183,-3.9580426
-6.981751,-3.3644133
1.5634583,-0.8401425
-5.036804,-3.1504755
-6.44627,-2.875316
-6.2314405,-1.3683001
1.9551508,-1.7266829
-1.094528,-1.3763535
-8.697516,-5.3291926
-6.3074913,-3.141984
1.110872,-2.4530156
-1.1384985,-1.3160089
-4.6680355,-3.1649618
-3.9504578,-1.9324841
0.64585966,-1.2318027
-6.227726,-3.1956651
1.6956519,-1.1465422
-6.2571354,-0.8032265
-8.552228,-5.2913394
-5.804168,-3.574428
1.8441294,-2.0011954
-3.9161098,-1.0886137
-7.1121187,-3.5903356
-9.493124,-4.81365
-2.8607137,-0.36194393
1.435314,-0.7914278
-7.5580063,-4.8233585
-9.629933,-5.928876
1.5180624,-1.05813
0.30520752,-1.0503405
-7.76125,-4.5403857
-4.801088,-2.4512246
-1.663723,-1.4992561
0.43752906,-1.1737949
-7.135295,-4.1135225
-3.8346138,-1.9989421
-8.432087,-4.5489264
1.2764987,-2.339243
-9.758378,-4.7886147
-6.772916,-2.9890218
-9.6612835,-5.489061
-4.0698376,-3.0119464
1.0972784,-2.4798615
-1.1316001,-1.5556773
1.9397483,-1.8241488
-6.257749,-1.7114211
-9.19675,-4.8517165
-2.7119262,-1.3285573
-6.3170652,-0.51725215
1.5478671,-1.5834851
-3.6689484,-1.023129
-2.2925148,-1.6697335
-5.9865413,-3.3920448
-4.371904,-2.7749622
-3.6156223,-0.98402554
1.0312811,-0.8768864
-6.8631797,-4.56425
-8.408941,-5.3131633
-6.397493,-0.37512058
-0.8039984,-1.3168284
1.0152742,-0.99383223
-4.153464,-2.5305092
-1.9110203,-1.8918496
-9.534927,-5.292874
1.1941415,-0.6927499
0.98675156,-0.7351993
1.630236,-0.91769964
-2.1197233,-1.4760318
-3.488622,-2.037007
-4.4749694,-2.6046588
-9.659164,-5.052294
-8.504853,-5.3954434
-6.268245,-1.9339198
-3.989116,-2.4302957
-9.186222,-5.7813425
-3.1709049,-0.7082867
-7.84316,-4.3693376
1.6603462,-2.040848
-9.384159,-5.7916617
-2.543508,-2.2985148
1.1697575,-0.8391575
-2.1848338,-1.7639115
-3.7807899,-2.6195092
-4.409737,-2.2628942
-9.679908,-4.9783854
-3.0874374,-0.8050604
-9.646001,-5.2713647
1.4457737,-1.0784822
1.7007716,-2.0988379
-5.3503337,-3.5855608
-6.221808,-1.5089808
-6.582294,-3.1403017
-0.51511097,-1.2977425
1.8303497,-1.0441912
-6.13929,-0.74785966
-6.259721,-0.9226044
-9.815668,-5.5358267
-7.724761,-4.661017
-9.8784,-5.5750427
-2.1576421,-2.402592
1.366663,-2.300974
-9.825666,-5.2439423
-0.05001297,-1.3206666
-2.540154,-2.53057
-6.3741937,-0.44444004
-1.7555219,-1.3781201
0.7715926,-0.92321783
-7.0185795,-4.48315
-8.302307,-5.182911
-8.7162285,-4.507032
-8.536276,-5.3953724
-9.614554,-5.819748
-2.2528784,-2.2657847
-6.344777,-0.45363736
-4.6101823,-2.378346
-1.5949019,-1.3205392
-7.5195837,-4.404873
-9.944448,-4.940535
-9.441217,-4.715299
-0.14461146,-1.3730676
0.92147756,-0.3839151
-9.298059,-5.5543747
-5.462173,-3.6481972
-2.779927,-0.71643084
-0.6048394,-1.2441807
-1.7666771,-1.5132955
-9.487562,-5.6737075
-6.1485114,-0.32368636
-7.3634386,-4.608821
-2.4904814,-2.0138917
1.7542835,-1.084039
1.1248422,-0.46572644
-3.649459,-0.6957174
-3.5563478,-1.2808266
-4.62122,-2.38797
-8.766195,-4.3372097
-8.661039,-5.4111085
-7.519076,-4.855795
-7.318347,-4.4805593
-4.083003,-2.1961403
-3.0499737,-1.84447
-3.7772527,-1.4710572
-9.6501045,-5.8046
-6.86055,-3.9259298
-0.5469994,-1.464111
-6.1999397,-0.5005314
1.4558324,-0.7061462
1.9679562,-1.633152
1.3447115,-1.473096
-3.5009058,-0.87629986
-7.6584215,-4.7926216
-2.3995514,-1.5141618
-3.8900628,-3.3446074
-9.270838,-4.580751
-2.9218605,-0.39298895
-2.9477625,-0.43989965
-2.7175999,-0.44016948
